"Chr","bp","gene","cell_type","gene_name","gChr","gbp","cell_typeCode","bp_flat","gbp_flat"
"3",17482579,"3637","Columella","AT2G47844","2",19595293,"3",67586678,50017351
"3",17485390,"7328","Phloem pole pericycle","AT5G17110","5",5626563,"6",67589489,97741573
"3",17490796,"4831","Hair cells","AT3G47460","3",17486765,"2",67594895,67593889
"3",17494775,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",67598874,69591991
"3",17494954,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",67599053,69591991
"3",17495107,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",67599206,69591991
"3",17496272,"12656","Xylem","AT5G43590","5",17509368,"7",67600371,109624378
"3",17501532,"9556","Root cap tip","AT1G78090","1",29373889,"9",67605631,29373889
"3",17501578,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",67605677,69591991
"3",17502444,"12323","Non-hair cells","AT3G29340","3",11259587,"4",67606543,61366711
"3",17507300,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",67611399,69591991
"3",17512882,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",67616981,69591991
"3",17513487,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",67617586,69591991
"3",17517699,"2398","Xylem","AT2G05100","2",1823240,"7",67621798,32245298
"3",17520025,"2443","Columella","AT2G09795","2",3670909,"3",67624124,34092967
"3",17520838,"2443","Columella","AT2G09795","2",3670909,"3",67624937,34092967
"3",17529775,"2443","Columella","AT2G09795","2",3670909,"3",67633874,34092967
"3",17529775,"6371","Columella","AT4G31250","4",15178925,"3",67633874,88745231
"3",1753336,"12323","Non-hair cells","AT3G29340","3",11259587,"4",51857435,61366711
"3",17536040,"2443","Phloem pole pericycle","AT2G09795","2",3670909,"6",67640139,34092967
"3",17537397,"518","Root cap lateral","AT1G14490","1",4958514,"11",67641496,4958514
"3",17542445,"10922","Epidermis meristem","AT4G24204","4",12561780,"12",67646544,86128086
"3",17558685,"2405","Cortex","AT2G05330","2",1938618,"1",67662784,32360676
"3",17563340,"671","Phloem and companion cells","AT1G18860","1",6509492,"14",67667439,6509492
"3",17563463,"11356","Procambium","AT5G28010","5",10024813,"13",67667562,102139823
"3",17566689,"15267","Hair cells","AT4G23390","4",12217806,"2",67670788,85784112
"3",17569201,"1117","Epidermis meristem","AT1G33100","1",11997683,"12",67673300,11997683
"3",17571277,"11356","Procambium","AT5G28010","5",10024813,"13",67675376,102139823
"3",17587787,"5118","Columella","AT3G55210","3",20465215,"3",67691886,70572339
"3",17587835,"901","Xylem","AT1G26208","1",9066636,"7",67691934,9066636
"3",17590172,"7912","Root cap tip","AT5G43250","5",17356174,"9",67694271,109471184
"3",17590243,"2404","Columella","AT2G05310","2",1933272,"3",67694342,32355330
"3",17590243,"2404","Cortex","AT2G05310","2",1933272,"1",67694342,32355330
"3",17597940,"2443","Columella","AT2G09795","2",3670909,"3",67702039,34092967
"3",1760006,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",51864105,69591991
"3",17601360,"13826","Root cap early","AT3G47750","3",17606427,"10",67705459,67713551
"3",17602463,"10755","Root cap tip","AT4G12280","4",7301769,"9",67706562,80868075
"3",17604351,"13826","Root cap early","AT3G47750","3",17606427,"10",67708450,67713551
"3",17605139,"13826","Root cap early","AT3G47750","3",17606427,"10",67709238,67713551
"3",1760834,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",51864933,69591991
"3",17610778,"4134","Columella","AT3G14260","3",4747769,"3",67714877,54854893
"3",17622942,"7854","Phloem pole pericycle","AT5G41750","5",16693909,"6",67727041,108808919
"3",17623141,"10437","Xylem","AT3G46490","3",17115629,"7",67727240,67222753
"3",17623253,"11703","Root cap tip","AT5G66630","5",26592648,"9",67727352,118707658
"3",17623253,"607","Phloem and companion cells","AT1G17140","1",5856573,"14",67727352,5856573
"3",17623681,"607","Phloem and companion cells","AT1G17140","1",5856573,"14",67727780,5856573
"3",17629312,"12323","Non-hair cells","AT3G29340","3",11259587,"4",67733411,61366711
"3",17632669,"5612","Epidermis meristem","AT4G08874","4",5673276,"12",67736768,79239582
"3",17634764,"4841","Root cap lateral","AT3G47800","3",17634810,"11",67738863,67741934
"3",17639161,"4842","Hair cells","AT3G47810","3",17637122,"2",67743260,67744246
"3",17639161,"4842","Non-hair cells","AT3G47810","3",17637122,"4",67743260,67744246
"3",17639293,"4842","Hair cells","AT3G47810","3",17637122,"2",67743392,67744246
"3",17639293,"4842","Non-hair cells","AT3G47810","3",17637122,"4",67743392,67744246
"3",17639553,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",67743652,69591991
"3",17691319,"12323","Non-hair cells","AT3G29340","3",11259587,"4",67795418,61366711
"3",17692665,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",67796764,69591991
"3",17693273,"12323","Non-hair cells","AT3G29340","3",11259587,"4",67797372,61366711
"3",17718588,"4849","Endodermis","AT3G48020","3",17724590,"5",67822687,67831714
"3",17719680,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",67823779,69591991
"3",17720846,"4849","Endodermis","AT3G48020","3",17724590,"5",67824945,67831714
"3",17721233,"4849","Endodermis","AT3G48020","3",17724590,"5",67825332,67831714
"3",17724131,"4849","Endodermis","AT3G48020","3",17724590,"5",67828230,67831714
"3",17724482,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",67828581,69591991
"3",17724516,"4849","Endodermis","AT3G48020","3",17724590,"5",67828615,67831714
"3",17741212,"5947","Cortex","AT4G19570","4",10665294,"1",67845311,84231600
"3",17763776,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",67867875,69591991
"3",17764824,"13131","Non-hair cells","AT1G54540","1",20367572,"4",67868923,20367572
"3",17764824,"14249","Root cap lateral","AT4G01735","4",752288,"11",67868923,74318594
"3",17790407,"4440","Xylem","AT3G22090","3",7782912,"7",67894506,57890036
"3",17790811,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",67894910,69591991
"3",17794185,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",67898284,69591991
"3",17795981,"12462","Non-hair cells","AT4G21760","4",11561229,"4",67900080,85127535
"3",17818707,"11152","Procambium","AT5G05340","5",1578951,"13",67922806,93693961
"3",17832163,"13131","Non-hair cells","AT1G54540","1",20367572,"4",67936262,20367572
"3",17832163,"14249","Root cap lateral","AT4G01735","4",752288,"11",67936262,74318594
"3",17832266,"13131","Non-hair cells","AT1G54540","1",20367572,"4",67936365,20367572
"3",17832266,"14249","Root cap lateral","AT4G01735","4",752288,"11",67936365,74318594
"3",17835989,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",67940088,69591991
"3",17845485,"2227","Endodermis","AT1G79150","1",29772588,"5",67949584,29772588
"3",17845485,"2227","Hair cells","AT1G79150","1",29772588,"2",67949584,29772588
"3",17845485,"2227","Non-hair cells","AT1G79150","1",29772588,"4",67949584,29772588
"3",17848412,"10437","Epidermis meristem","AT3G46490","3",17115629,"12",67952511,67222753
"3",1787002,"9993","Xylem","AT2G41180","2",17165191,"7",51891101,47587249
"3",17879525,"13211","Root cap early","AT2G21040","2",9026157,"10",67983624,39448215
"3",17884934,"10767","Root cap lateral","AT4G13195","4",7662371,"11",67989033,81228677
"3",17900048,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68004147,69591991
"3",17903143,"4859","Non-hair cells","AT3G48350","3",17905725,"4",68007242,68012849
"3",17904727,"5715","Xylem","AT4G13210","4",7669948,"7",68008826,81236254
"3",17906060,"4859","Hair cells","AT3G48350","3",17905725,"2",68010159,68012849
"3",17906060,"4859","Non-hair cells","AT3G48350","3",17905725,"4",68010159,68012849
"3",17907586,"12184","Xylem pole pericycle","AT2G41178","2",17164795,"8",68011685,47586853
"3",17907986,"1567","Root cap tip","AT1G60690","1",22349892,"9",68012085,22349892
"3",17910661,"5231","Phloem pole pericycle","AT3G57860","3",21426314,"6",68014760,71533438
"3",17918554,"15721","Xylem","AT4G10260","4",6371377,"7",68022653,79937683
"3",17918554,"9447","Xylem","AT1G68010","1",25493196,"7",68022653,25493196
"3",17926146,"2491","Xylem pole pericycle","AT2G15980","2",6951349,"8",68030245,37373407
"3",17928657,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68032756,69591991
"3",1794511,"3825","Cortex","AT3G05810","3",1730976,"1",51898610,51838100
"3",17945137,"10321","Phloem and companion cells","AT3G22560","3",7998857,"14",68049236,58105981
"3",17946078,"5235","Columella","AT3G57950","3",21460423,"3",68050177,71567547
"3",17946162,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68050261,69591991
"3",1794638,"9040","Phloem and companion cells","AT1G15885","1",5460477,"14",51898737,5460477
"3",17946476,"9268","Epidermis meristem","AT1G51790","1",19206711,"12",68050575,19206711
"3",17948158,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68052257,69591991
"3",17951652,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68055751,69591991
"3",17959177,"7432","Phloem pole pericycle","AT5G20240","5",6829042,"6",68063276,98944052
"3",17960409,"9926","Xylem","AT2G35890","2",15067175,"7",68064508,45489233
"3",17963689,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68067788,69591991
"3",17965781,"9258","Hair cells","AT1G49740","1",18407518,"2",68069880,18407518
"3",17966874,"13459","Epidermis meristem","AT4G28088","4",13961244,"12",68070973,87527550
"3",17967404,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68071503,69591991
"3",17968324,"10672","Xylem","AT4G04110","4",1972591,"7",68072423,75538897
"3",17969616,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68073715,69591991
"3",17970906,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68075005,69591991
"3",17982093,"6523","Procambium","AT4G35030","4",16675702,"13",68086192,90242008
"3",17982914,"2408","Xylem","AT2G05642","2",2098087,"7",68087013,32520145
"3",17985910,"9245","Non-hair cells","AT1G48698","1",18010729,"4",68090009,18010729
"3",1799497,"732","Phloem pole pericycle","AT1G20350","1",7043713,"6",51903596,7043713
"3",18005252,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68109351,69591991
"3",18010360,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68114459,69591991
"3",18010601,"12323","Non-hair cells","AT3G29340","3",11259587,"4",68114700,61366711
"3",18012137,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68116236,69591991
"3",18015800,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68119899,69591991
"3",18020297,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68124396,69591991
"3",18028505,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68132604,69591991
"3",18029126,"9134","Root cap early","AT1G26500","1",9158380,"10",68133225,9158380
"3",18030199,"10266","Root cap early","AT3G16900","3",5772106,"10",68134298,55879230
"3",18034717,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68138816,69591991
"3",18039793,"136","Epidermis meristem","AT1G04880","1",1375961,"12",68143892,1375961
"3",18049601,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68153700,69591991
"3",18061770,"12323","Non-hair cells","AT3G29340","3",11259587,"4",68165869,61366711
"3",18069540,"10571","Phloem and companion cells","AT3G60280","3",22279664,"14",68173639,72386788
"3",18071210,"9893","Root cap tip","AT2G32160","2",13662213,"9",68175309,44084271
"3",18081662,"11110","Cortex","AT5G01480","5",192990,"1",68185761,92308000
"3",18103720,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68207819,69591991
"3",18106743,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68210842,69591991
"3",18108494,"14798","Hair cells","AT1G68800","1",25847066,"2",68212593,25847066
"3",18115402,"2620","Root cap lateral","AT2G19900","2",8591899,"11",68219501,39013957
"3",1812913,"12323","Non-hair cells","AT3G29340","3",11259587,"4",51917012,61366711
"3",18138948,"10462","Phloem pole pericycle","AT3G48610","3",18011545,"6",68243047,68118669
"3",18169209,"5612","Epidermis meristem","AT4G08874","4",5673276,"12",68273308,79239582
"3",18177057,"12371","Phloem and companion cells","AT3G54530","3",20185966,"14",68281156,70293090
"3",18183690,"10764","Phloem and companion cells","AT4G12800","4",7521322,"14",68287789,81087628
"3",18192887,"5930","Protoxylem","AT4G19020","4",10414526,"15",68296986,83980832
"3",18195179,"12323","Non-hair cells","AT3G29340","3",11259587,"4",68299278,61366711
"3",18216943,"13877","Root cap early","AT4G26460","4",13369533,"10",68321042,86935839
"3",18235002,"13253","Xylem pole pericycle","AT2G45135","2",18608824,"8",68339101,49030882
"3",18237699,"14662","Hair cells","AT1G14518","1",4966810,"2",68341798,4966810
"3",18237699,"4864","Phloem and companion cells","AT3G48450","3",17944029,"14",68341798,68051153
"3",18247818,"12323","Non-hair cells","AT3G29340","3",11259587,"4",68351917,61366711
"3",18255904,"13253","Xylem pole pericycle","AT2G45135","2",18608824,"8",68360003,49030882
"3",18263531,"13853","Hair cells","AT4G04330","4",2116553,"2",68367630,75682859
"3",18271719,"8901","Procambium","AT1G05835","1",1762224,"13",68375818,1762224
"3",18274544,"12323","Non-hair cells","AT3G29340","3",11259587,"4",68378643,61366711
"3",18279729,"4908","Columella","AT3G49630","3",18397759,"3",68383828,68504883
"3",18279768,"4897","Hair cells","AT3G49310","3",18284857,"2",68383867,68391981
"3",18292590,"9468","Endodermis","AT1G69990","1",26360235,"5",68396689,26360235
"3",18299390,"10030","Non-hair cells","AT2G43550","2",18073234,"4",68403489,48495292
"3",18317720,"4905","Root cap tip","AT3G49540","3",18365678,"9",68421819,68472802
"3",18322831,"1192","Columella","AT1G43790","1",16575895,"3",68426930,16575895
"3",18326517,"1839","Xylem pole pericycle","AT1G68760","1",25829042,"8",68430616,25829042
"3",18332804,"11550","Root cap early","AT5G52260","5",21220165,"10",68436903,113335175
"3",18332804,"13479","Endodermis","AT4G38030","4",17863073,"5",68436903,91429379
"3",18335691,"10470","Hair cells","AT3G49510","3",18353842,"2",68439790,68460966
"3",18357627,"9739","Non-hair cells","AT2G18340","2",7969320,"4",68461726,38391378
"3",18365432,"4905","Root cap tip","AT3G49540","3",18365678,"9",68469531,68472802
"3",18365638,"4905","Root cap early","AT3G49540","3",18365678,"10",68469737,68472802
"3",18365638,"4905","Root cap lateral","AT3G49540","3",18365678,"11",68469737,68472802
"3",18365638,"4905","Root cap tip","AT3G49540","3",18365678,"9",68469737,68472802
"3",18392740,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68496839,69591991
"3",18393435,"11550","Root cap early","AT5G52260","5",21220165,"10",68497534,113335175
"3",18394378,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68498477,69591991
"3",18395075,"9936","Epidermis meristem","AT2G36690","2",15379694,"12",68499174,45801752
"3",18396250,"10184","Phloem and companion cells","AT3G09380","3",2885138,"14",68500349,52992262
"3",18396250,"12323","Non-hair cells","AT3G29340","3",11259587,"4",68500349,61366711
"3",18399695,"12323","Non-hair cells","AT3G29340","3",11259587,"4",68503794,61366711
"3",18403480,"10184","Phloem and companion cells","AT3G09380","3",2885138,"14",68507579,52992262
"3",18405399,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68509498,69591991
"3",18406016,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68510115,69591991
"3",18411763,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68515862,69591991
"3",18414520,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68518619,69591991
"3",18417884,"11518","Root cap early","AT5G49290","5",19980195,"10",68521983,112095205
"3",18427517,"12323","Non-hair cells","AT3G29340","3",11259587,"4",68531616,61366711
"3",18437133,"11521","Endodermis","AT5G49440","5",20048239,"5",68541232,112163249
"3",18437133,"2623","Root cap early","AT2G20100","2",8678050,"10",68541232,39100108
"3",18438363,"13867","Root cap tip","AT4G15360","4",8770185,"9",68542462,82336491
"3",18452610,"11942","Endodermis","AT1G57630","1",21345639,"5",68556709,21345639
"3",18454248,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68558347,69591991
"3",18461998,"12628","Endodermis","AT5G28030","5",10030406,"5",68566097,102145416
"3",18463478,"12323","Non-hair cells","AT3G29340","3",11259587,"4",68567577,61366711
"3",18463478,"7303","Columella","AT5G16490","5",5384305,"3",68567577,97499315
"3",18464197,"11320","Epidermis meristem","AT5G23030","5",7726788,"12",68568296,99841798
"3",18464499,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68568598,69591991
"3",18466759,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68570858,69591991
"3",18469240,"6615","Phloem and companion cells","AT4G37225","4",17516187,"14",68573339,91082493
"3",18474887,"9938","Cortex","AT2G36815","2",15440769,"1",68578986,45862827
"3",18475434,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68579533,69591991
"3",18488367,"9938","Cortex","AT2G36815","2",15440769,"1",68592466,45862827
"3",18499132,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68603231,69591991
"3",18499270,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68603369,69591991
"3",18504236,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68608335,69591991
"3",18507708,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68611807,69591991
"3",18516694,"9258","Hair cells","AT1G49740","1",18407518,"2",68620793,18407518
"3",18521417,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68625516,69591991
"3",18523269,"9258","Hair cells","AT1G49740","1",18407518,"2",68627368,18407518
"3",18523811,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68627910,69591991
"3",18526248,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68630347,69591991
"3",18531400,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68635499,69591991
"3",18534206,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68638305,69591991
"3",18538190,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68642289,69591991
"3",1854056,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",51958155,69591991
"3",18541026,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68645125,69591991
"3",18541064,"14928","Non-hair cells","AT2G23260","2",9899927,"4",68645163,40321985
"3",1854140,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",51958239,69591991
"3",18543845,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68647944,69591991
"3",18545557,"11811","Cortex","AT1G12672","1",4318309,"1",68649656,4318309
"3",18546264,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68650363,69591991
"3",18546406,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68650505,69591991
"3",18553862,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68657961,69591991
"3",18557737,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68661836,69591991
"3",18559977,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68664076,69591991
"3",18564796,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68668895,69591991
"3",18567442,"12323","Non-hair cells","AT3G29340","3",11259587,"4",68671541,61366711
"3",18573318,"13271","Non-hair cells","AT3G02940","3",661873,"4",68677417,50768997
"3",18573855,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68677954,69591991
"3",18573957,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68678056,69591991
"3",18574044,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68678143,69591991
"3",18575425,"12323","Non-hair cells","AT3G29340","3",11259587,"4",68679524,61366711
"3",18576570,"11311","Root cap lateral","AT5G22240","5",7364689,"11",68680669,99479699
"3",18576844,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68680943,69591991
"3",18577722,"10726","Phloem and companion cells","AT4G09300","4",5898798,"14",68681821,79465104
"3",18577731,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68681830,69591991
"3",18578874,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68682973,69591991
"3",18579004,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68683103,69591991
"3",18586650,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68690749,69591991
"3",18587881,"12323","Non-hair cells","AT3G29340","3",11259587,"4",68691980,61366711
"3",18589165,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68693264,69591991
"3",18590170,"11311","Root cap lateral","AT5G22240","5",7364689,"11",68694269,99479699
"3",18592984,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68697083,69591991
"3",18594343,"12244","Epidermis meristem","AT3G07450","3",2383610,"12",68698442,52490734
"3",18595224,"13352","Endodermis","AT3G50200","3",18612462,"5",68699323,68719586
"3",18596022,"12323","Non-hair cells","AT3G29340","3",11259587,"4",68700121,61366711
"3",1859682,"7656","Endodermis","AT5G27230","5",9584092,"5",51963781,101699102
"3",18599016,"13352","Endodermis","AT3G50200","3",18612462,"5",68703115,68719586
"3",1860163,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",51964262,69591991
"3",1860178,"5099","Endodermis","AT3G54730","3",20259003,"5",51964277,70366127
"3",18604263,"11311","Root cap lateral","AT5G22240","5",7364689,"11",68708362,99479699
"3",18606947,"4935","Endodermis","AT3G50190","3",18609114,"5",68711046,68716238
"3",1861244,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",51965343,69591991
"3",18613236,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68717335,69591991
"3",18614527,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68718626,69591991
"3",18615239,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68719338,69591991
"3",18615841,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68719940,69591991
"3",18615923,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68720022,69591991
"3",18616501,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68720600,69591991
"3",18629161,"10955","Procambium","AT4G27030","4",13571921,"13",68733260,87138227
"3",18637813,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68741912,69591991
"3",18640425,"13352","Endodermis","AT3G50200","3",18612462,"5",68744524,68719586
"3",18644251,"12495","Root cap early","AT4G32810","4",15828228,"10",68748350,89394534
"3",18655029,"12323","Non-hair cells","AT3G29340","3",11259587,"4",68759128,61366711
"3",1868839,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",51972938,69591991
"3",18707021,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68811120,69591991
"3",18707799,"8975","Root cap tip","AT1G10070","1",3288087,"9",68811898,3288087
"3",18717107,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68821206,69591991
"3",18720238,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68824337,69591991
"3",18720383,"8975","Root cap tip","AT1G10070","1",3288087,"9",68824482,3288087
"3",18728579,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68832678,69591991
"3",18729866,"6768","Xylem","AT5G01670","5",251814,"7",68833965,92366824
"3",18730352,"13727","Epidermis meristem","AT1G77525","1",29133954,"12",68834451,29133954
"3",18731070,"4943","Non-hair cells","AT3G50520","3",18748023,"4",68835169,68855147
"3",18753084,"12323","Non-hair cells","AT3G29340","3",11259587,"4",68857183,61366711
"3",18753652,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68857751,69591991
"3",18767278,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68871377,69591991
"3",1877110,"10453","Procambium","AT3G47675","3",17576004,"13",51981209,67683128
"3",1877110,"12323","Non-hair cells","AT3G29340","3",11259587,"4",51981209,61366711
"3",18784592,"11786","Cortex","AT1G08005","1",2485344,"1",68888691,2485344
"3",18786763,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68890862,69591991
"3",18790098,"12298","Root cap tip","AT3G23930","3",8646892,"9",68894197,58754016
"3",18817529,"10797","Endodermis","AT4G15320","4",8742639,"5",68921628,82308945
"3",18818105,"11077","Xylem","AT4G37925","4",17830562,"7",68922204,91396868
"3",18823487,"11077","Xylem","AT4G37925","4",17830562,"7",68927586,91396868
"3",18829065,"11421","Hair cells","AT5G41200","5",16490544,"2",68933164,108605554
"3",1884346,"518","Root cap lateral","AT1G14490","1",4958514,"11",51988445,4958514
"3",18850490,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68954589,69591991
"3",18852703,"10505","Root cap tip","AT3G52490","3",19455699,"9",68956802,69562823
"3",18852703,"12023","Cortex","AT1G76960","1",28920457,"1",68956802,28920457
"3",18852703,"2844","Hair cells","AT2G27300","2",11680417,"2",68956802,42102475
"3",18864494,"12324","Non-hair cells","AT3G29630","3",11447028,"4",68968593,61554152
"3",18864494,"4759","Protoxylem","AT3G44720","3",16271652,"15",68968593,66378776
"3",18873991,"12323","Non-hair cells","AT3G29340","3",11259587,"4",68978090,61366711
"3",18873991,"434","Hair cells","AT1G12330","1",4194658,"2",68978090,4194658
"3",18878627,"10672","Xylem pole pericycle","AT4G04110","4",1972591,"8",68982726,75538897
"3",18893938,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",68998037,69591991
"3",18894157,"4957","Hair cells","AT3G50830","3",18893845,"2",68998256,69000969
"3",18900591,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",69004690,69591991
"3",18901410,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",69005509,69591991
"3",18902781,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",69006880,69591991
"3",18904439,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",69008538,69591991
"3",18905379,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",69009478,69591991
"3",18905667,"13543","Non-hair cells","AT5G14070","5",4541836,"4",69009766,96656846
"3",18905667,"9924","Epidermis meristem","AT2G35760","2",15031923,"12",69009766,45453981
"3",18907503,"13543","Non-hair cells","AT5G14070","5",4541836,"4",69011602,96656846
"3",18907503,"9924","Epidermis meristem","AT2G35760","2",15031923,"12",69011602,45453981
"3",18911745,"6035","Root cap tip","AT4G22390","4",11813425,"9",69015844,85379731
"3",18911906,"13081","Epidermis meristem","AT1G28550","1",10036966,"12",69016005,10036966
"3",18911906,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",69016005,69591991
"3",18917188,"12323","Non-hair cells","AT3G29340","3",11259587,"4",69021287,61366711
"3",18917644,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",69021743,69591991
"3",18918978,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",69023077,69591991
"3",18929359,"2744","Root cap early","AT2G23950","2",10187043,"10",69033458,40609101
"3",18929960,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",69034059,69591991
"3",18934268,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",69038367,69591991
"3",18940326,"12323","Non-hair cells","AT3G29340","3",11259587,"4",69044425,61366711
"3",18942003,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",69046102,69591991
"3",18943441,"7449","Protoxylem","AT5G20790","5",7039911,"15",69047540,99154921
"3",18949455,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",69053554,69591991
"3",18952075,"10489","Procambium","AT3G51030","3",18950996,"13",69056174,69058120
"3",18953601,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",69057700,69591991
"3",18958497,"10354","Xylem pole pericycle","AT3G26180","3",9578217,"8",69062596,59685341
"3",18958497,"9245","Non-hair cells","AT1G48698","1",18010729,"4",69062596,18010729
"3",18963553,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",69067652,69591991
"3",18973504,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",69077603,69591991
"3",18993647,"12323","Non-hair cells","AT3G29340","3",11259587,"4",69097746,61366711
"3",18993647,"6884","Root cap lateral","AT5G04895","5",1428724,"11",69097746,93543734
"3",18997811,"5975","Root cap lateral","AT4G20940","4",11202728,"11",69101910,84769034
"3",19012920,"9775","Cortex","AT2G22410","2",9509017,"1",69117019,39931075
